question,response
إيه سعر المنتج؟,السعر يبدأ من 200 جنيه، يعتمد على المنتج. تواصلوا للتفاصيل!
التوصيل كام يوم؟,التوصيل في 3-5 أيام عمل داخل القاهرة، تواصلوا للتأكد.
فيه خصم؟,نعم، خصم 10% للعملاء الجدد! استخدموا الكود NEW10.
أقدر أدفع كاش؟,نعم، الدفع كاش عند الاستلام متاح.
المنتج موجود؟,نعم، متوفر حاليًا. اطلبوا دلوقتي!
إزاي أطلب؟,اطلبوا عبر واتساب أو الموقع، ونتواصل معاكم فورًا!
التوصيل مجاني؟,التوصيل مجاني للطلبات فوق 500 جنيه، وإلا 20 جنيه رسوم.
فين العنوان؟,العنوان: 123 شارع النيل، القاهرة. تواصلوا لخريطة.
المنتج فيه كفالة؟,نعم، كفالة 6 أشهر ضد عيوب الصناعة.
عايز أرجع الطلب، إزاي؟,اتصلونا خلال 7 أيام مع الفاتورة لترتيب الاستبدال.
إيه مواعيد العمل؟,من 9 صباحًا لـ 6 مساءً، 7 أيام أسبوعيًا.
الدفع بالبطاقة متاح؟,نعم، الدفع بـ Visa/MasterCard متاح عبر الإنترنت.
فيه تتبع للشحنة؟,نعم، سنرسل لكم رابط تتبع بعد الشحن.
المنتج أصلي؟,نعم، كل منتجاتنا أصلية 100%.
كام عدد القطع المتوفرة؟,المتوفر 10 قطع حاليًا، اطلبوا بسرعة!
إيه طريقة التوصيل؟,التوصيل عبر شركات موثوقة زي أرامكس أو دينا.
عايز أغير المنتج، ممكن؟,نعم، خلال 7 أيام بشرط عدم الاستخدام.
فيه فروع؟,حاليًا عندنا خدمة أونلاين فقط، لكن نطور فروع قريبًا.
السعر شامل الضريبة؟,نعم، السعر شامل الضريبة.
إزاي أتواصل مع الدعم؟,اتصلونا على 01001234567 أو عبر واتساب.
التوصيل خارج القاهرة كام؟,رسوم 50 جنيه خارج القاهرة، تواصلوا للتأكيد.
فيه عرض خاص؟,نعم، عرض شهري 15% خصم، شيكوا الصفحة!
المنتج شغال؟,نعم، جربناه ومضمون، تواصلوا لو فيه مشكلة.
كام وقت الرد؟,الرد خلال 5 دقايق في أوقات العمل.
عايز أشتري بالجملة، إزاي؟,تواصلوا معانا لعرض خاص للجملة!
فيه ضمان استبدال؟,نعم، استبدال خلال 14 يوم بشرط العلبة.
المنتج بيتوصل اليوم؟,لو الطلب قبل 2 ظهرًا، ممكن اليوم داخل القاهرة.
إيه أراء العملاء؟,العملاء راضيين بنسبة 90%، شيكوا تعليقاتنا!
فيه دفع على أقساط؟,حاليًا لا، لكن ندرسه قريبًا.
كيف أعرف حالة الطلب؟,سنرسل لكم رقم تتبع بعد الشحن.
المنتج فيه قطع غيار؟,نعم، متوفرة مع خدمة ما بعد البيع.
عايز ألغي الطلب، ممكن؟,نعم، قبل الشحن، اتصلوا فورًا.
فيه خدمة عملاء 24 ساعة؟,حاليًا من 9 صباحًا لـ 6 مساءً.
المنتج بيتوصل أسيوط؟,نعم، بـ 50 جنيه رسوم، تواصلوا للتأكيد.
إيه شروط الشراء؟,الدفع مقدم، التوصيل خلال 5 أيام.
فيه فاتورة رسمية؟,نعم، بمجرد الدفع سنرسلها.
عايز أعرف مواصفات المنتج؟,تواصلوا لنرسل لكم المواصفات الكاملة.
المنتج فيه عيوب؟,لا، مختبر ومضمون، تواصلوا لو فيه مشكلة.
كام الرسوم إذا رجعت الطلب؟,20 جنيه رسوم إلغاء، تواصلوا للتفاصيل.
فيه شحن دولي؟,حاليًا لا، لكن نطوره قريبًا.
إيه آخر موعد للطلب؟,قبل 2 ظهرًا للتوصيل اليوم.
المنتج فيه ضمان ضد الكسر؟,لا، لكن ضد عيوب الصناعة فقط.
عايز أطلب أكتر من منتج، إزاي؟,أضيفوا للسلة واطلبوا مرة واحدة.
فيه خدمة تركيب؟,نعم، بتكلفة إضافية 50 جنيه، تواصلوا.
المنتج بيتوصل السبت؟,نعم، لو الطلب قبل الجمعة ظهرًا.
إيه طريقة الاستلام؟,الاستلام من العنوان أو مكتب الشحن.
فيه عرض موسمي؟,نعم، شيكوا الصفحة لعروض العيد!
عايز أعرف عن الشركة؟,Mogeeb.ai تقدم حلول AI، زوروا linkedin.com/company/mogeeb-ai.
كيف أسجل شكوى؟,ارسلوا لنا عبر واتساب، نرد خلال 24 ساعة.
